Date,Time,Day,Station,Min_Delay,Line
2023-01-01T00:00:00Z,02:22:00,Sunday,MUSEUM STATION,3,YU
2023-01-01T00:00:00Z,08:02:00,Sunday,VAUGHAN MC STATION,6,YU
2023-01-01T00:00:00Z,08:11:00,Sunday,GREENWOOD STATION,5,BD
2023-01-01T00:00:00Z,08:15:00,Sunday,KEELE STATION,5,BD
2023-01-01T00:00:00Z,08:16:00,Sunday,GREENWOOD STATION,5,BD
2023-01-01T00:00:00Z,08:19:00,Sunday,DONLANDS STATION,4,BD
2023-01-01T00:00:00Z,08:21:00,Sunday,GREENWOOD STATION,5,BD
2023-01-01T00:00:00Z,08:24:00,Sunday,EGLINTON STATION,6,YU
2023-01-01T00:00:00Z,08:31:00,Sunday,GREENWOOD STATION,4,BD
2023-01-01T00:00:00Z,08:38:00,Sunday,EGLINTON STATION,6,YU
2023-01-01T00:00:00Z,08:44:00,Sunday,SHEPPARD WEST STATION,6,YU
2023-01-01T00:00:00Z,10:54:00,Sunday,EGLINTON STATION,4,YU
2023-01-01T00:00:00Z,11:54:00,Sunday,DONLANDS STATION,3,BD
2023-01-01T00:00:00Z,14:39:00,Sunday,DAVISVILLE STATION,4,YU
2023-01-01T00:00:00Z,15:55:00,Sunday,PIONEER VILLAGE STATIO,5,YU
2023-01-01T00:00:00Z,16:13:00,Sunday,SHEPPARD WEST STATION,6,YU
2023-01-01T00:00:00Z,17:27:00,Sunday,GREENWOOD STATION,9,BD
2023-01-01T00:00:00Z,18:59:00,Sunday,ST GEORGE YUS STATION,5,YU
2023-01-01T00:00:00Z,19:30:00,Sunday,BATHURST STATION,5,BD
2023-01-01T00:00:00Z,20:37:00,Sunday,YONGE BD STATION,3,BD
2023-01-01T00:00:00Z,21:57:00,Sunday,KENNEDY BD STATION,6,BD
2023-01-01T00:00:00Z,22:19:00,Sunday,UNION STATION,14,YU
2023-01-01T00:00:00Z,23:19:00,Sunday,KIPLING STATION,6,BD
2023-01-02T00:00:00Z,22:43:00,Monday,MCCOWAN STATION,10,SRT
2023-01-02T00:00:00Z,02:30:00,Monday,HIGHWAY 407 STATION,12,YU
2023-01-02T00:00:00Z,09:26:00,Monday,ISLINGTON STATION,3,BD
2023-01-02T00:00:00Z,09:49:00,Monday,WILSON STATION,5,YU
2023-01-02T00:00:00Z,10:18:00,Monday,EGLINTON STATION,3,YU
2023-01-02T00:00:00Z,12:02:00,Monday,EGLINTON WEST STATION,5,YU
2023-01-02T00:00:00Z,13:16:00,Monday,MUSEUM STATION,13,YU
2023-01-02T00:00:00Z,14:36:00,Monday,KIPLING STATION,6,BD
2023-01-02T00:00:00Z,15:43:00,Monday,BLOOR STATION,3,YU
2023-01-02T00:00:00Z,16:31:00,Monday,WARDEN STATION,5,BD
2023-01-02T00:00:00Z,17:18:00,Monday,FINCH STATION,4,YU
2023-01-02T00:00:00Z,17:54:00,Monday,CHRISTIE STATION,6,BD
2023-01-02T00:00:00Z,19:35:00,Monday,COLLEGE STATION,3,YU
2023-01-02T00:00:00Z,19:54:00,Monday,KENNEDY BD STATION,5,BD
2023-01-02T00:00:00Z,20:42:00,Monday,SPADINA BD STATION,6,BD
2023-01-02T00:00:00Z,21:01:00,Monday,QUEEN STATION,6,YU
2023-01-02T00:00:00Z,21:26:00,Monday,SUMMERHILL STATION,4,YU
2023-01-02T00:00:00Z,21:40:00,Monday,ROYAL YORK STATION,3,BD
2023-01-02T00:00:00Z,23:45:00,Monday,BLOOR STATION,14,YU
2023-01-02T00:00:00Z,00:57:00,Monday,DUFFERIN STATION,14,BD
2023-01-02T00:00:00Z,00:37:00,Monday,SHEPPARD-YONGE STATION,76,SHP
2023-01-03T00:00:00Z,15:32:00,Tuesday,LAWRENCE EAST STATION,5,SRT
2023-01-03T00:00:00Z,06:17:00,Tuesday,KENNEDY BD STATION,5,BD
2023-01-03T00:00:00Z,06:17:00,Tuesday,DOWNSVIEW PARK STATION,12,YU
2023-01-03T00:00:00Z,06:42:00,Tuesday,NORTH YORK CTR STATION,3,YU
2023-01-03T00:00:00Z,06:48:00,Tuesday,SHEPPARD STATION,5,YU
